Date,Country,Wages
01-07-2020,Belgium,1626
01-07-2020,Czechia,546
01-07-2020,Germany,1544
01-07-2020,Spain,1108
01-07-2020,France,1539
01-07-2020,Luxembourg,2142
01-07-2020,Netherlands,1680
01-07-2020,Poland,583
01-07-2020,Portugal,741
01-01-2021,Belgium,1626
01-01-2021,Czechia,579
01-01-2021,Germany,1585
01-01-2021,Spain,1108
01-01-2021,France,1555
01-01-2021,Luxembourg,2202
01-01-2021,Netherlands,1685
01-01-2021,Poland,614
01-01-2021,Portugal,776
01-07-2021,Belgium,1626
01-07-2021,Czechia,596
01-07-2021,Germany,1602
01-07-2021,Spain,1108
01-07-2021,France,1555
01-07-2021,Luxembourg,2202
01-07-2021,Netherlands,1701
01-07-2021,Poland,619
01-07-2021,Portugal,776
01-01-2022,Belgium,1658
01-01-2022,Czechia,652
01-01-2022,Germany,1634
01-01-2022,Spain,1126
01-01-2022,France,1603
01-01-2022,Luxembourg,2257
01-01-2022,Netherlands,1725
01-01-2022,Poland,655
01-01-2022,Portugal,823
01-07-2022,Belgium,1842
01-07-2022,Czechia,655
01-07-2022,Germany,1739
01-07-2022,Spain,1167
01-07-2022,France,1646
01-07-2022,Luxembourg,2313
01-07-2022,Netherlands,1756
01-07-2022,Poland,642
01-07-2022,Portugal,823
01-01-2023,Belgium,1955
01-01-2023,Czechia,717
01-01-2023,Germany,1997
01-01-2023,Spain,1167
01-01-2023,France,1709
01-01-2023,Luxembourg,2387
01-01-2023,Netherlands,1934
01-01-2023,Poland,746
01-01-2023,Portugal,887
01-07-2023,Belgium,1955
01-07-2023,Czechia,729
01-07-2023,Germany,1997
01-07-2023,Spain,1260
01-07-2023,France,1747
01-07-2023,Luxembourg,2508
01-07-2023,Netherlands,1995
01-07-2023,Poland,811
01-07-2023,Portugal,887
01-01-2024,Belgium,1994
01-01-2024,Czechia,764
01-01-2024,Germany,2054
01-01-2024,Spain,1323
01-01-2024,France,1767
01-01-2024,Luxembourg,2571
01-01-2024,Netherlands,2070
01-01-2024,Poland,978
01-01-2024,Portugal,957
01-07-2024,Belgium,2070
01-07-2024,Czechia,755
01-07-2024,Germany,2054
01-07-2024,Spain,1323
01-07-2024,France,1767
01-07-2024,Luxembourg,2571
01-07-2024,Netherlands,2134
01-07-2024,Poland,998
01-07-2024,Portugal,957
01-01-2025,Belgium,2070
01-01-2025,Czechia,826
01-01-2025,Germany,2161
01-01-2025,Spain,1381
01-01-2025,France,1802
01-01-2025,Luxembourg,2638
01-01-2025,Netherlands,2193
01-01-2025,Poland,1091
01-01-2025,Portugal,1015
