group,category,criteria,drug type,value
Harm to users,Mortality,Drug-specific mortality,Alcohol,2.6
Harm to users,Mortality,Drug-specific mortality,Heroin,5.1
Harm to users,Mortality,Drug-specific mortality,Crack,1.3
Harm to users,Mortality,Drug-specific mortality,Methylamphet,1.3
Harm to users,Mortality,Drug-specific mortality,Cocaine,1
Harm to users,Mortality,Drug-specific mortality,Tobacco,0
Harm to users,Mortality,Drug-specific mortality,Amphetamine,1
Harm to users,Mortality,Drug-specific mortality,Cannabis,0
Harm to users,Mortality,Drug-specific mortality,GHB,3.1
Harm to users,Mortality,Drug-specific mortality,Benzodiazepines,0.8
Harm to users,Mortality,Drug-specific mortality,Ketamine,0.3
Harm to users,Mortality,Drug-specific mortality,Methadone,4.1
Harm to users,Mortality,Drug-specific mortality,Mephedrone,0.5
Harm to users,Mortality,Drug-specific mortality,Butane,3.6
Harm to users,Mortality,Drug-specific mortality,Khat,0
Harm to users,Mortality,Drug-specific mortality,Anabolic Steroids,0
Harm to users,Mortality,Drug-specific mortality,Ecstasy,0.8
Harm to users,Mortality,Drug-specific mortality,LSD,0
Harm to users,Mortality,Drug-specific mortality,Buprenorphine,0.8
Harm to users,Mortality,Drug-specific mortality,Mushrooms,0
Harm to users,Mortality,Drug-related mortality,Alcohol,3.8
Harm to users,Mortality,Drug-related mortality,Heroin,6.4
Harm to users,Mortality,Drug-related mortality,Crack,3.8
Harm to users,Mortality,Drug-related mortality,Methylamphet,3.8
Harm to users,Mortality,Drug-related mortality,Cocaine,2.2
Harm to users,Mortality,Drug-related mortality,Tobacco,5.7
Harm to users,Mortality,Drug-related mortality,Amphetamine,2.6
Harm to users,Mortality,Drug-related mortality,Cannabis,1.3
Harm to users,Mortality,Drug-related mortality,GHB,2.6
Harm to users,Mortality,Drug-related mortality,Benzodiazepines,1
Harm to users,Mortality,Drug-related mortality,Ketamine,1
Harm to users,Mortality,Drug-related mortality,Methadone,0.6
Harm to users,Mortality,Drug-related mortality,Mephedrone,0.6
Harm to users,Mortality,Drug-related mortality,Butane,0.6
Harm to users,Mortality,Drug-related mortality,Khat,1.3
Harm to users,Mortality,Drug-related mortality,Anabolic Steroids,1.9
Harm to users,Mortality,Drug-related mortality,Ecstasy,0.6
Harm to users,Mortality,Drug-related mortality,LSD,0
Harm to users,Mortality,Drug-related mortality,Buprenorphine,0.3
Harm to users,Mortality,Drug-related mortality,Mushrooms,0.1
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Alcohol,3.3
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Heroin,0.8
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Crack,2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Methylamphet,2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Cocaine,1.2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Tobacco,4.1
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Amphetamine,1.2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Cannabis,0.8
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,GHB,1.2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Benzodiazepines,0.2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Ketamine,1.2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Methadone,0.4
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Mephedrone,0.8
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Butane,0
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Khat,1.6
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Anabolic Steroids,1.2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Ecstasy,0.8
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,LSD,0
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Buprenorphine,0.2
Harm to users,"Health damage, mental impairment and dependence",Drug-specific damage,Mushrooms,0
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Alcohol,3.3
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Heroin,4.1
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Crack,3.3
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Methylamphet,2.9
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Cocaine,2.4
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Tobacco,0.4
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Amphetamine,2.4
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,Cannabis,1.6
Harm to users,"Health damage, mental impairment and dependence",Drug-related damage,GHB,2
