Year,Month,Underground Line,Temperature
2013,January,Bakerloo,21.7
2013,January,Central,21
2013,January,Jubilee,16.4
2013,January,Northern,19.5
2013,January,Piccadilly,19.3
2013,January,Victoria,18.4
2013,January,Waterloo_and_City,16.4
2013,January,Sub-surface_lines,11.9
2013,February,Bakerloo,21.5
2013,February,Central,21
2013,February,Jubilee,17.9
2013,February,Northern,19.8
2013,February,Piccadilly,19
2013,February,Victoria,18.3
2013,February,Waterloo_and_City,17.1
2013,February,Sub-surface_lines,11.3
2013,March,Bakerloo,21.7
2013,March,Central,20.9
2013,March,Jubilee,18.2
2013,March,Northern,20
2013,March,Piccadilly,18.7
2013,March,Victoria,17.7
2013,March,Waterloo_and_City,16.7
2013,March,Sub-surface_lines,11.4
2013,April,Bakerloo,23.4
2013,April,Central,22.8
2013,April,Jubilee,20.3
2013,April,Northern,21.4
2013,April,Piccadilly,20.3
2013,April,Victoria,19.6
2013,April,Waterloo_and_City,18.4
2013,April,Sub-surface_lines,15.3
2013,May,Bakerloo,25.4
2013,May,Central,24.7
2013,May,Jubilee,21.9
2013,May,Northern,22.9
2013,May,Piccadilly,22.4
2013,May,Victoria,21.5
2013,May,Waterloo_and_City,20.3
2013,May,Sub-surface_lines,18.3
2013,June,Bakerloo,27
2013,June,Central,26.7
2013,June,Jubilee,23.1
2013,June,Northern,23.7
2013,June,Piccadilly,24.2
2013,June,Victoria,23.3
2013,June,Waterloo_and_City,22.1
2013,June,Sub-surface_lines,21.3
2013,July,Bakerloo,29.7
2013,July,Central,30
2013,July,Jubilee,26.3
2013,July,Northern,25.9
2013,July,Piccadilly,27.5
2013,July,Victoria,26.5
2013,July,Waterloo_and_City,24.9
2013,July,Sub-surface_lines,26.3
2013,August,Bakerloo,29.9
2013,August,Central,30
2013,August,Jubilee,26.1
2013,August,Northern,26.2
2013,August,Piccadilly,27.4
2013,August,Victoria,26.6
2013,August,Waterloo_and_City,25.1
2013,August,Sub-surface_lines,25.3
2013,September,Bakerloo,28.9
2013,September,Central,28.2
2013,September,Jubilee,24.5
2013,September,Northern,25.1
2013,September,Piccadilly,26.1
2013,September,Victoria,25.1
2013,September,Waterloo_and_City,23.8
2013,September,Sub-surface_lines,22.4
2013,October,Bakerloo,27.9
2013,October,Central,27.1
2013,October,Jubilee,23.1
2013,October,Northern,24.2
2013,October,Piccadilly,25.1
2013,October,Victoria,24.1
2013,October,Waterloo_and_City,23.1
2013,October,Sub-surface_lines,20.4
2013,November,Bakerloo,25.4
2013,November,Central,24.5
2013,November,Jubilee,20.1
2013,November,Northern,22.1
2013,November,Piccadilly,22.4
2013,November,Victoria,21.5
2013,November,Waterloo_and_City,20.9
